train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.838510036468506,2.0,2.765279769897461,0.143,0.461
2.686284065246582,1.9,2.6758954524993896,0.172,0.51
2.6223065853118896,1.9,2.612722396850586,0.204,0.553
2.5803515911102295,2.0,2.582211494445801,0.21,0.556
2.5349020957946777,2.9,2.5673508644104004,0.214,0.567
2.5163097381591797,3.0,2.5203373432159424,0.213,0.575
2.486463785171509,2.2,2.5174834728240967,0.229,0.595
2.461925745010376,1.7,2.5166351795196533,0.23,0.572
2.4371275901794434,2.3,2.4890928268432617,0.231,0.585
2.425222873687744,2.8,2.491553544998169,0.23,0.603
2.4015443325042725,2.8,2.452338695526123,0.24,0.625
2.3832831382751465,2.3,2.450377941131592,0.233,0.62
2.3691253662109375,2.7,2.443502902984619,0.251,0.628
2.3434953689575195,2.8,2.4472174644470215,0.245,0.622
2.328568696975708,1.8,2.3927712440490723,0.269,0.638
2.2955260276794434,2.3,2.3897409439086914,0.25,0.635
2.2830138206481934,2.9,2.3460559844970703,0.276,0.65
2.2614591121673584,2.8,2.3783504962921143,0.28,0.632
2.2397496700286865,3.5,2.38594126701355,0.279,0.647
2.2308707237243652,3.0,2.342548370361328,0.276,0.658
