train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.7447402477264404,3.1,2.658979892730713,0.17,0.498
2.6087255477905273,3.6,2.59312105178833,0.204,0.528
2.526944875717163,4.5,2.5317156314849854,0.199,0.559
2.4909141063690186,4.7,2.4905247688293457,0.218,0.577
2.4528303146362305,4.2,2.4823412895202637,0.213,0.584
2.4363598823547363,3.2,2.419872522354126,0.228,0.618
2.4135634899139404,3.3,2.4374921321868896,0.234,0.608
2.403069019317627,4.2,2.405836343765259,0.254,0.618
2.380866289138794,4.3,2.402644157409668,0.248,0.629
2.3751766681671143,4.5,2.3681228160858154,0.27,0.634
2.3445987701416016,2.7,2.3679165840148926,0.259,0.633
2.335862159729004,2.3,2.3958334922790527,0.244,0.619
2.32289981842041,2.2,2.3577651977539062,0.256,0.636
2.3028218746185303,2.2,2.3572304248809814,0.272,0.642
2.2870113849639893,2.3,2.3338348865509033,0.278,0.651
2.282315731048584,2.2,2.3214917182922363,0.287,0.665
2.269979476928711,2.6,2.336662769317627,0.288,0.657
2.2573254108428955,3.6,2.343254566192627,0.27,0.657
2.2450828552246094,3.3,2.289445161819458,0.309,0.674
2.2284607887268066,2.9,2.2955386638641357,0.3,0.657
