train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.7326250076293945,2.1,2.6710684299468994,0.186,0.511
2.608556032180786,2.7,2.6227023601531982,0.199,0.526
2.556471109390259,4.0,2.5483734607696533,0.237,0.572
2.513368844985962,3.7,2.5186102390289307,0.225,0.581
2.478424072265625,2.8,2.5170748233795166,0.214,0.573
2.46404767036438,3.2,2.454019069671631,0.247,0.598
2.421808958053589,2.7,2.4301698207855225,0.259,0.619
2.3876492977142334,2.9,2.4311516284942627,0.237,0.618
2.3717103004455566,2.8,2.384939432144165,0.277,0.634
2.3493738174438477,3.2,2.3916261196136475,0.278,0.614
2.353044033050537,3.5,2.3739631175994873,0.274,0.618
2.333493709564209,3.3,2.4073374271392822,0.268,0.617
2.321979522705078,2.9,2.387944221496582,0.276,0.617
2.3192009925842285,3.2,2.40746808052063,0.27,0.624
2.2901222705841064,2.2,2.3836445808410645,0.257,0.629
2.290071487426758,2.2,2.3819053173065186,0.282,0.638
2.2779619693756104,2.3,2.3720290660858154,0.274,0.646
2.232234477996826,2.1,2.3471062183380127,0.286,0.658
2.211035966873169,1.5,2.378791570663452,0.275,0.643
2.19124698638916,2.2,2.3437421321868896,0.274,0.681
