train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.8920466899871826,1.8,2.8011553287506104,0.151,0.451
2.850377082824707,2.0,2.829256296157837,0.124,0.436
2.7990870475769043,2.1,2.7669568061828613,0.139,0.467
2.7472591400146484,2.0,2.744955062866211,0.16,0.477
2.744352340698242,2.1,2.6956474781036377,0.185,0.497
2.710275888442993,4.3,2.739259958267212,0.16,0.474
2.715348958969116,4.1,2.74371075630188,0.17,0.447
2.7662456035614014,3.7,2.737215042114258,0.152,0.473
2.736037015914917,3.7,2.832703113555908,0.14,0.439
2.691065549850464,3.1,2.680419921875,0.186,0.486
2.6809301376342773,2.9,2.6996326446533203,0.169,0.481
2.6674108505249023,4.4,2.6585230827331543,0.171,0.517
2.664634943008423,3.7,2.6886420249938965,0.186,0.494
2.6467323303222656,2.6,2.6549148559570312,0.181,0.489
2.6294057369232178,2.2,2.6419572830200195,0.188,0.509
2.629666566848755,2.3,2.663586139678955,0.177,0.499
2.617295026779175,1.9,2.6987662315368652,0.176,0.49
2.6773672103881836,1.7,2.680429697036743,0.18,0.489
2.6603844165802,2.5,2.715951919555664,0.166,0.49
2.683511734008789,2.2,2.708554983139038,0.166,0.505
