train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.7420432567596436,3.0,2.6275007724761963,0.193,0.533
2.5736076831817627,2.5,2.652388334274292,0.184,0.517
2.526043176651001,2.8,2.5215985774993896,0.224,0.585
2.485130548477173,3.0,2.4826817512512207,0.246,0.599
2.4521095752716064,2.5,2.460458993911743,0.242,0.608
2.4195306301116943,2.1,2.4320285320281982,0.26,0.621
2.3788139820098877,1.7,2.4357495307922363,0.254,0.615
2.3596794605255127,1.8,2.415951728820801,0.258,0.618
2.342033863067627,1.9,2.3857314586639404,0.265,0.647
2.310555934906006,2.7,2.370192289352417,0.29,0.637
2.2898411750793457,2.7,2.395474672317505,0.274,0.641
2.2654387950897217,3.2,2.3307855129241943,0.284,0.644
2.2378761768341064,3.0,2.3253347873687744,0.294,0.646
2.233818292617798,2.1,2.3292860984802246,0.297,0.637
2.202989339828491,1.9,2.3061718940734863,0.307,0.66
2.2211310863494873,2.8,2.3400771617889404,0.29,0.64
2.189185380935669,3.1,2.3111162185668945,0.299,0.661
2.1467816829681396,1.8,2.3232598304748535,0.283,0.665
2.131258249282837,2.9,2.3048667907714844,0.302,0.662
2.1138930320739746,3.4,2.3462796211242676,0.298,0.648
